species	genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Alistipes onderdonkii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria																											14.53697198545921						11.654199064339831											16.3654127447948																																			12.957535956099846																	
Alistipes putredinis	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria							15.479958103601694																						15.35854467424658				12.0809871332173																																																															
Alkaliphilus oremlandii	Alkaliphilus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria				16.575712135988642			17.05886807768995		20.503452422993664																			13.031023020717123	20.45522624434451				10.756773897459205				15.029305353580758							32.69456276676487								14.367471590754688	25.88539926244961	17.252353375226576							14.076664177200565					12.710920054144186			13.702102144757555										19.710913340237852	15.745718447111456				24.721402980929295					16.136532912788915			17.926370798309197				
Alkalitalea saponilacus	Alkalitalea	Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria									18.48269489229752						16.175305806994285	16.48532282346259				19.769907559583263									30.714473242256886				42.38945323404655				19.027511070785884				14.109411718532243	1.0		17.006527380218724		17.874938984587093							15.320269120464816	14.204229502909069							18.374420835368696								16.98813401894147															22.791368251986214					17.7184178547947			14.648959403936631				
Allisonella histaminiformans	Allisonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria																															29.095368933559214																																																																	
Alloprevotella rava	Alloprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		21.8327436150208																											11.323938413070662								11.080376431843325								11.44801387017477	12.074011572326713																									13.719587132681898																									
Alloprevotella sp. E39	Alloprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		23.456348082735403	10.75629921645166				43.66228584233358		22.089859909491484							28.519260524347537	20.0711643981848												21.54614697677147				60.04446183249296		28.44325282065282		27.577235559263304								11.257068216770058				69.4730523634584	19.642674336606262					11.543905754004795								11.15612729771201						29.63955436643038	60.05092780356125									68.8630972468202																	
Alterileibacterium massiliense	Alterileibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria									16.134472507760282																			12.673201924575825	12.915169049811938				11.710822390585964																11.225487974457526			26.74127155578952	14.540018670454652	14.713037823387424												13.368805016224613			15.377480875486048											16.846463627337855				21.379068854919275					15.103525516086355			12.281728050333228				
Aminicella lysinilytica	Aminicella	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria															12.098209286298074																18.67850226573056					52.43521444236536					17.562946285278116								10.027229129168967		15.268093548041575		17.957420408110668	51.06408743140341					29.69601468105408								15.346700834703348						16.417973404619982																							
Aminipila butyrica	Aminipila	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria		26.991342626566883	34.88153644011328	32.76652682818801	16.07404433838232		17.96522263952584	36.507169389155294	91.97065722766952			27.80254314225145		69.97146020440962	45.182901129248485	34.10303675692901			21.954922509712947	41.06258588457057							92.3005812893975	30.208420211242863	53.69487702765757	17.236629157859262	72.97426523010728	17.651029068990844	90.41535732729848	34.367871352195635	21.09126445052381	19.39322211592168	49.125718969496496	15.68292609638826	49.64281645519432	51.12757386678945	57.96067731560836			74.76931013563748	24.53283265091234	45.02690328282838	13.2112626012921		31.774672133606952	43.14147177230349	139.2349846397705	32.339401113110576	42.68936246050168	77.30203414708902	68.98528541444622			28.10569028774557	35.14115280759047		35.188373887719194		12.772855008769753		20.90290602070565	18.603210090340724	64.85454542108955	37.47255946891787	40.55795635280897	12.82254145144627	44.23468499644667	46.60640086673468	57.60693879897092	17.972432187091997	27.53566886114531	13.551263162327752			103.4651655841168	43.38985919755272	13.570123859102404	27.568696043783277		73.01354871232533	1.9984197099596008		28.811808395866304		82.90143151939361			78.01861789082064	16.617343738617475		23.96189791330041	19.63811066561484
Aminipila sp. JN-18	Aminipila	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria		44.647262917409726	36.95656375119032	120.72253150404036	58.034075290883614		112.454059046838	71.68955877315842	157.84627828781558			75.61745654491911		83.79152586345597	123.50901892925896	74.55680382757022	65.76273347750869		71.07197924693949	74.67407487309347	14.911753429104053					22.779907996043853	66.3120963856245	88.45516676980333	163.5060460172765	28.670654007068983	47.45076666650446	40.10622945499175	94.993566525298	65.09059880120672	117.55051294326694	14.268808374661084	205.5793898624513	18.738525098721677	24.621851359621672	45.97024764653987	98.00113748802544	1.7508949107109455		125.30260725995676	52.626744970872245	135.24360809339078	22.938921560852723		34.97547965913684	72.14589873738834	168.35040025233866	231.068251239416	170.6198738941968	150.0335141736344	127.11126446056352		25.48193889569512	42.86859952301877	105.1767514513236		119.43428399624337		59.67184402958269	1.736905754157973	28.1056277116604	107.90891722302898	145.59646976974042	58.86436518295623	195.48705384199693	56.55468446446318	41.1230512602187	91.60413713257624	110.09106187548724		26.79975367763661	12.728561475307044	26.44191225311488		190.90840144600452	150.5881786351214	39.381854804620254	28.997818538961987	13.93812322875229	312.6069031453426	2.0089820359175867		49.098007812963104		165.84824755917444			258.72099162435524	49.10249104062205	1.1166666666763414	56.72869774519579	57.07875302512348
Anabaena cylindrica	Anabaena	Nostocaceae	Nostocales		Cyanobacteria	Bacteria											1.8896232408065416																																																																																					
