genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Anaerobutyricum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0062655520363698	0.0045757392391481	0.0284651612347323	0.0058085271971573		0.0121082859636753	0.0096670259910478	0.0100247306476705	0.0060940392923472		0.008597741211801	0.0138674382467611	0.0084687937549605	0.0159655207835394	0.0092548113630454	0.0159915556552401		0.0150342732197275	0.0160138381559732	0.0053966213946678	0.0262186803624928	0.0096008084892073	0.003427456794764	0.0059116399781767	0.011647061595951	0.0175639242005784	0.0236387275886906	0.0117084347970667	0.0117971431408805	0.0082795711610658	0.0127823841676228	0.0058686029593462	0.010679599561359	0.0071413498924929	0.0033056464987937	0.0076544506483765	0.0052544057169061	0.0067877106898383	0.0061693357220822	0.0070180849247221	0.0158279615930361		0.0189354144631714	0.0080037522781859	0.0186600120702593	0.0174433753546799	0.016666666667346	0.0084071060061235	0.0075536958767038	0.0158792578303842	0.0187205990531296	0.0138365700883197	0.0138260690927266	0.009055199153191		0.0091987075069466	0.0090484175723556	0.0119255293170211	0.0042553175187954	0.0206260660848627	0.0173654180104171	0.0096172688323018	0.0077777777777777	0.0102276923566221	0.0068427630098977	0.0281429458474484	0.0182188892379625	0.0084956107012148	0.0083520497013629	0.0059050568157168	0.0269416513965705	0.039627909873943	0.0066315019094767	0.0069209325469517	0.0058974309605276	0.0115203638702705		0.0097383366860344	0.0215703799196497	0.0171415244064887	0.018268594939631	0.0026702982464858	0.0241369370909543	0.0183307387336874		0.009667531923827		0.0093309987391717		0.0391061449897929	0.0268569909787159	0.0182144807759152		0.0103125800754833	0.0030453944595376
Anaerocella	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		0.0041367509468469	0.0326486152252581	0.0044294833991053	0.0134987352171003		0.0184582924018917	0.0037737318042847	0.0060245877469171	0.0272798588439356		0.0037367318695105		0.0123036038933447	0.0255700931325661	0.0218400086893738	0.0164557682792219		0.0007189328041154	0.0130644524370361			0.0444668809094603			0.0093074119647823	0.047465443905294	0.0035915698792584	0.0543279706969974	0.0007769441888888	0.0005141067169616	0.0152453684243705	0.0230767350470235	0.001286178822098	0.006214823506986	0.0011099727433459	0.000672398666103	0.0073118886162624	0.0061212696148481	0.0009096934499125	0.00159886077174	0.0422857659616178	0.0484140233722871	0.0034803794853873	0.0014029430573018	0.0137778822680962	0.0204263096960472	0.05	0.0667884713575221	0.0346131110909424	0.0034664615297117	0.0005749537470003	0.0065367816614372	0.007606843491734	0.0019730904425697		0.0020708896175136	0.0036417525426986	0.0092303969716971	0.0106382978723404	0.000952112101924	0.0498635574299181	0.0108874323049376			0.0367577877366872	0.0003774623336492	0.078777572236616	0.0079778374554791	0.051553772383001	0.0099809426562858	0.0577084089100716	0.0008421531849199	0.0213363605821269	0.0010122903487222	0.0020372981253586	0.0070613817614464		0.0105911607603422	0.0238842688296518	0.0339817232830905	0.0448967646666657	0.0942233360684387	0.0438396644071611	0.0239520958083832	0.0142394822006472			0.0097292352383599			0.0108900430725256	0.0076287471875796		0.0157508003701544	0.0678221535863851
Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																											0.0175292153589315																																																					
Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.00194110371078	0.0011564998337241	0.0008220014071867	0.000345732916683		0.0026983199458671	0.0008749252767074	0.0009835320980649	0.0026510846647476		0.000947203829074	0.0103099643387008	0.0013733057997358	0.0025298185023202	0.0009071578732482	0.0020382643383701		0.0010419074834346	0.0024068266794557	0.0004582128935717			0.0004964851885198		0.0010106489541582	0.0011244266733913	0.0012953973224607	0.0022978447669736	0.0020517523157077	0.0010514635603163	0.0016921178887738	0.0061614805657062	0.0016675672494579	0.0013906079204934	0.0007708635305336	0.0017601805184162	0.0022157255746231	0.0017029779690233	0.0017097395112999	0.0011469369896167	0.0028043495131623		0.0023416781482588	0.0019889137806953	0.0012540989302447	0.0030030340638618		0.0018425973307779	0.0027385249977319	0.0008639689783319	0.0038790602502326	0.0013546773711167	0.0016506307843752	0.0012954702512143002		0.0018759756189733	0.0011996183859537	0.0015402300740444	0.0022778459395675	0.0014733700136225		0.001848688934419		0.0005577857059364	0.0002087968908302	0.0011328769379352	0.0013791581983085	0.0020787281508352	0.0008900888122434	0.0018249221897698	0.0017725996291249	0.0012608423155089001	0.0016725876193663	0.0009605293510759	0.0019584671791724	0.001631127867956		0.002747419984838	0.0028689514880525	0.0012017666723648	0.0021418922254183		0.0013025602748825001			0.0012724528327087		0.0009309976414839		0.0279329608938546	0.001305792302912	0.0016879749232222		0.0023465478589686	0.0087201186647275
Anaerofustis	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria									0.0002089456600422																																																																																							
Anaeromassilibacillus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0022499120477251	0.0023908525318329	0.0111392224635951	0.0046752666378383		0.0077730672376061	0.0033993422342383	0.0055299861996665	0.0045296797402942		0.0032152732712172	0.0090481536214362	0.0021022872697282	0.0035435099457844	0.0047733514492316	0.0080583486864951		0.0041485605751572	0.0049469255615323	0.004778528794667	0.0108256985093539		0.0039635175975722		0.0047442768200899	0.0061249517923679	0.0075301044714177	0.0049841432385749	0.0019160624433257	0.0023607584672844	0.0048840437272628	0.0045471671833031	0.0023169750520276	0.0075896411023483	0.0088542419515161	0.0041612519317695	0.001744858239705	0.0016206401466342	0.0093453745770253	0.0184804596293174	0.0073100024192961		0.0088025018958185	0.0023719245938722	0.0056400590633384	0.0048939980314681		0.0027165689184434	0.0065315407273468	0.0087675599697222	0.0046718937854802	0.0037607510279733	0.0036070011705763	0.0153531134465846		0.0019752132178685	0.0018930244220476	0.0042212448192166	0.0106382777898392	0.0035058991647561	0.0050784143006032	0.0056077042441874		0.0134584882129419	0.0070407170940405	0.0055267803270968	0.0078119653281134	0.0043980795103476	0.0041899154483139	0.0080308433885418	0.0045751385137551	0.00286445189248	0.003321113960956	0.0069023469037516	0.0022523922794048	0.0060920050538266	0.0238095238095238	0.0052598645077597	0.0067731134807266	0.0042654080404003	0.003511055711069	0.0052871366516338	0.0098061468586579	0.0050618514868637		0.0027241747387453		0.0078330739453822		0.0172808650491287	0.0072936604034359	0.009162532658957		0.0058089914654884	0.0033289553791729
Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0061327058347042	0.0022188731225194	0.0026690745987943	0.0007211996549447		0.0044441781338158	0.0026571890125705	0.0036195121908587	0.0021223479775945003		0.0036221080488998995		0.0042058471065533	0.0031813246134617	0.0029327402850547	0.0040462898708457		0.0030607390938748	0.002490317646951	0.0010939027755126			0.0004407527347374		0.0011675602042017	0.0028364441099475997	0.0032886381205934003	0.0025627437686508003	0.0056644908263275996	0.0006188135591537001	0.0038104650028507004	0.0059259438563491005	0.0069940559598639	0.0020871919153921	0.0015572486593279002	0.0046476059175546	0.0026538400491159	0.0037507436717511	0.0016576078280579	0.0030702398297344003	0.0034981751307963		0.0051313050990922995	0.0034665181987230003	0.0035587946671986	0.0031731312908589004	0.0170006264006435	0.0037205523727098996	0.0032470976757373003	0.0019767444064344997	0.0033147419089965	0.0021739312184374	0.0022738592734362	0.0039194200700484		0.0069019634118139	0.0036124915708502002	0.0024587210708853	0.002127659574468	0.0030819778964318		0.0032012476329196		0.0013578912816851	0.0013092476146363001	0.0048784627345719	0.0033339173735088	0.0019614930734997	0.0016259239569225	0.002160946593113	0.0038694954428979	0.0048210736694118995	0.0030650678956801996	0.0013298316779659998	0.0038781359720634	0.0040860799257208		0.0028160743243089	0.0052328035394362	0.002975408552709	0.0023733632182037	0.0023735658883268	0.0032095686468111995			0.002865116539856		0.0027644563038264			0.0033391550132836	0.0020944946859385		0.0034623535712382	0.0037985631177768
Anaerotaenia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0015871385463623	0.0007581555318409	0.001265334800504	0.000442262323374		0.0016357099471701	0.0009152177336615	0.0008201641739866	0.0021431395208239		0.0006125213961628		0.0007678574496083	0.0013311547616248	0.0009026012531068	0.0016288744179791		0.0005636732419428	0.0013392475724251	0.0004635439855806						0.0007375257412325	0.0009099067535113	0.0009055845818883	0.0012366104869366	0.0003240977355491	0.0013169876769544	0.0026622394840485	0.0017210813456076	0.0010798599854422	0.0011482626879809	0.0017971926779312	0.0009671802275013	0.0013655121089864	0.0013206836983687	0.0016561343979178			0.0009858362208422	0.0012319735035064	0.0017012143397636	0.0013186177303068		0.0010245705325956	0.0020033168632323	0.0018767793385335	0.0055135703513194	0.0005293662087557	0.000555328310128	0.0016376237716273		0.001191596684925	0.0009902454612207	0.0009070581326041		0.0009747535664703		0.002769380429632		0.0006078059398578	0.0005285038477897	0.0007526395179705	0.0006186131324713	0.0011064467576037	0.0007787210962688	0.0009019587312313	0.0013931213934477	0.0016935823781993	0.0010068319079247	0.0005589396532485	0.0016167106127182	0.0013007597221168		0.0013093585670749	0.0010068692762631		0.0016457762714408	0.0013223879098075	0.0015302011185727			0.0009754408664336		0.0011863890502982			0.0017151770709266	0.0021543225110796		0.0016555242505251	0.0017802680544477
Anaerotignum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0006259989969101	0.001425380671109	0.0004113033587523			0.000658026912234	0.0012497786920589	0.0002508573236789			0.0014399429867169		0.000591293016477	0.002580637535945	0.0010554645812131			0.0010173802223393	0.0006737181507283	0.000196977726241						0.0006607549762980001	0.0009469660216121999	0.0027248034845554	0.000702643535848	0.0004924527564314		0.00064922958784	0.0026101196502006	0.000586263392981	0.0003494342160143	0.005766131304218601	0.0007058757325775	0.0008332758995806	0.0009762105141649	0.0009639257267977			0.0007148625128972	0.0007879392591843999	0.0029706420386698	0.001265991471115			0.0011456940996387	0.0002870283173548	0.0003291675304087	0.00041095918473840005	0.0006234803301965	0.0033883196801786			0.00042954566051860003	0.0005994728476654	0.004255319148936	0.0009103151189753	0.0039692384023815	0.0013465946095495				0.0007327675115307	0.0006008283182644	0.0017936185522689			0.0008849029669902001	0.0006211643126969001			0.0016726388369186			0.0002123337580319	0.0008833025141053				0.0012031325942303			0.0025858470732709		0.0006613976995314			0.0008384567953702			0.0005737616240781	
Anaerotruncus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0004965145336477	0.000272333824159	0.0019007453807056	0.0006572827451383		0.0006710453155934	0.0004215958270324	0.0019093806005457	0.000875793994654		0.0004543289030629		0.0002791904437014	0.0007382149731299	0.000804799670222	0.0007715324620977		0.0014844510301217	0.0011273383319566						0.0009447828472852	0.0023848498719882	0.0019880057242379	0.000741098219898	0.0004183845332112			0.0018689413855	0.000342141488084	0.0008719073169474		0.0006859129314174		0.000218725783649	0.0002250166798631	0.0002390678615891	0.00158331163701		0.0022782330116525	0.0004563617758203	0.0007310918921614	0.0008002308389697		0.0012624035580597		0.0003572939872982	0.0007511801987439	0.0004295039591565	0.0004117489545807	0.000849699426577		0.000413265772211	0.0002433086593218	0.0003669321317106		0.0008116151729697		0.0004551106716984			0.0023501542185387	0.000891179768709	0.0026075550405256	0.0009240133928646	0.0013236615748705		0.000984339226229					0.0018302017429645		0.0020852264010062	0.002320415324031	0.0008130590326853	0.0022079828690128	0.0022712216111358	0.0012040813435994					0.0036170653818811			0.0013851034832878	0.00208232207816		0.0006999619342492	0.0021173138150217
