species	genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Alloprevotella rava	Alloprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		0.0002953204238528																											0.0001559857073815								0.0001640905196789								0.0001685291093667	0.0002347887520141																									0.0004230132005266																									
Alloprevotella sp. E39	Alloprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		0.0003172820961021	0.0002413133040887				0.0011036978221014		0.000306633258044							0.0006249427089809	0.0011783693065334												0.0002967952363321				0.0007525877598577		0.0009281228486801		0.0004083943304692								0.0001657181500797				0.0009774886716961	0.0012248347157577					0.0003273288273458								0.0004265063767906						0.0003982205342795	0.0012103381599024									0.0009108272898197																	
Alterileibacterium massiliense	Alterileibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria									0.0002239654706796																			0.0002259158586836	0.0001779046924047				0.0001467815901757																0.000157943072256			0.0004384246246481	0.0001519730198113	0.0001502879275925												0.000188579882303			0.0002066032631396											0.0003400509401775				0.0002675125610615					0.0002884388884534			0.000151454250115				
Aminicella lysinilytica	Aminicella	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria															0.0002024567713623																0.0002650410401812					0.0010722509190291					0.0002720743940587								0.0001410835215787		0.0001905367836574		0.0001876918777957	0.0005215996836678					0.000465148564911								0.0002326632530541						0.0003717417277169																							
Aminipila butyrica	Aminipila	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria		0.000365098170225	0.0007825534266638	0.0007151608972256	0.0002614558522159		0.0004541259514541	0.0007224564511429	0.0012766609831714			0.0004620434936308		0.001448834459145	0.0007561106000844	0.000747300027543			0.0004029091503131	0.0013047339185488							0.0013317449831101	0.0005385033105378	0.0007396396086238	0.0004299805213126	0.0010354778390627	0.0012449590258845	0.0011332517463062	0.0006791264148953	0.0006882224254559	0.0003965731895611	0.0007275082037955	0.0005263080104835	0.0008088837980706	0.0009239811664941	0.0008978912708453			0.0014042239818134	0.0003611540380531	0.0008755839238274	0.0008654043365185		0.0004470709289548	0.0026901210807696	0.0017375703169741	0.0005302062680445	0.000446191402775	0.0007896100485918	0.0019560860128291			0.0003085553562241	0.0005504394099118		0.0004894752244779		0.0004883149829403		0.0007468524374984	0.0002624162118481	0.0009832256245522	0.0009983896695952	0.0005449140985195	0.0002584408233688	0.0013638789195093	0.0009370757774395	0.0013043572693076	0.0013139663830305	0.0005664726462413	0.0007009394901116			0.0013684963373337	0.0008758373710169	0.0007294981109075	0.0019405008829297		0.000913605804854	0.0029782708047087		0.0013447751876717		0.0015832063006205			0.0009621000578456	0.0017020735161955		0.0006810840177733	0.0003529812288238
Aminipila sp. JN-18	Aminipila	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0006039208283273	0.0008291058408756	0.0026348851191487	0.0009439658304605		0.002842620299465	0.0014186962473909	0.0021910921472489			0.0012566675509766		0.0017349938060556	0.0020668544091781	0.0016337636425456	0.0038609013959671		0.0013042884007806	0.0023727146311989	0.0002419403807817					0.00116318974653	0.0009567740576214	0.0015768252628447	0.0022522734863804	0.000715210766759	0.0006733088325695	0.0028287649495691	0.0011906342941604	0.0012862229538237	0.003835753864885	0.0002917837383882	0.0030444479143211	0.0006288517718881	0.0004011903043671	0.0008307775987013	0.0015181735265836	0.0020010227550982		0.0023532773778303	0.0007747316311276	0.0026299194573338	0.0015026150635957		0.0004921064209916	0.0044987153917433	0.002100913495886	0.0037883767458998	0.0017833276602476	0.0015325336742319	0.0036042550957145		0.0009023669002335	0.0004706283980658	0.0016474538932258		0.0016613476699992		0.0022812954096258	0.0019277533342485	0.0010042027908982	0.0015221593017975	0.0022073114381185	0.0015683362689621	0.0026264551100631	0.0011398706936302	0.0012679385582653	0.0018418074861785	0.0024927218810254		0.0005513331621229	0.0006583852208817	0.0025992246390558		0.0025250764029628	0.003039667722394	0.0021170763791323	0.0020410937241473	0.0007877761390805	0.0039115956748835	0.0029940119760321		0.0022916223016552		0.0031672793300455			0.0031904625810727	0.0050294469979127	0.016666666666811	0.0016124352721617	0.0010259504453154
Anabaena cylindrica	Anabaena	Nostocaceae	Nostocales		Cyanobacteria	Bacteria											0.0036620605441987																																																																																					
Anaerobutyricum hallii	Anaerobutyricum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0062655520363698	0.0045757392391481	0.0284651612347323	0.0058085271971573		0.0121082859636753	0.0096670259910478	0.0100247306476705	0.0060940392923472		0.008597741211801	0.0138674382467611	0.0084687937549605	0.0159655207835394	0.0092548113630454	0.0159915556552401		0.0150342732197275	0.0160138381559732	0.0053966213946678	0.0262186803624928	0.0096008084892073	0.003427456794764	0.0059116399781767	0.011647061595951	0.0175639242005784	0.0236387275886906	0.0117084347970667	0.0117971431408805	0.0082795711610658	0.0127823841676228	0.0058686029593462	0.010679599561359	0.0071413498924929	0.0033056464987937	0.0076544506483765	0.0052544057169061	0.0067877106898383	0.0061693357220822	0.0070180849247221	0.0158279615930361		0.0189354144631714	0.0080037522781859	0.0186600120702593	0.0174433753546799	0.016666666667346	0.0084071060061235	0.0075536958767038	0.0158792578303842	0.0187205990531296	0.0138365700883197	0.0138260690927266	0.009055199153191		0.0091987075069466	0.0090484175723556	0.0119255293170211	0.0042553175187954	0.0206260660848627	0.0173654180104171	0.0096172688323018	0.0077777777777777	0.0102276923566221	0.0068427630098977	0.0281429458474484	0.0182188892379625	0.0084956107012148	0.0083520497013629	0.0059050568157168	0.0269416513965705	0.039627909873943	0.0066315019094767	0.0069209325469517	0.0058974309605276	0.0115203638702705		0.0097383366860344	0.0215703799196497	0.0171415244064887	0.018268594939631	0.0026702982464858	0.0241369370909543	0.0183307387336874		0.009667531923827		0.0093309987391717		0.0391061449897929	0.0268569909787159	0.0182144807759152		0.0103125800754833	0.0030453944595376
Anaerocella delicata	Anaerocella	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		0.0041367509468469	0.0326486152252581	0.0044294833991053	0.0134987352171003		0.0184582924018917	0.0037737318042847	0.0060245877469171	0.0272798588439356		0.0037367318695105		0.0123036038933447	0.0255700931325661	0.0218400086893738	0.0164557682792219		0.0007189328041154	0.0130644524370361			0.0444668809094603			0.0093074119647823	0.047465443905294	0.0035915698792584	0.0543279706969974	0.0007769441888888	0.0005141067169616	0.0152453684243705	0.0230767350470235	0.001286178822098	0.006214823506986	0.0011099727433459	0.000672398666103	0.0073118886162624	0.0061212696148481	0.0009096934499125	0.00159886077174	0.0422857659616178	0.0484140233722871	0.0034803794853873	0.0014029430573018	0.0137778822680962	0.0204263096960472	0.05	0.0667884713575221	0.0346131110909424	0.0034664615297117	0.0005749537470003	0.0065367816614372	0.007606843491734	0.0019730904425697		0.0020708896175136	0.0036417525426986	0.0092303969716971	0.0106382978723404	0.000952112101924	0.0498635574299181	0.0108874323049376			0.0367577877366872	0.0003774623336492	0.078777572236616	0.0079778374554791	0.051553772383001	0.0099809426562858	0.0577084089100716	0.0008421531849199	0.0213363605821269	0.0010122903487222	0.0020372981253586	0.0070613817614464		0.0105911607603422	0.0238842688296518	0.0339817232830905	0.0448967646666657	0.0942233360684387	0.0438396644071611	0.0239520958083832	0.0142394822006472			0.0097292352383599			0.0108900430725256	0.0076287471875796		0.0157508003701544	0.0678221535863851
Anaerococcus urinomassiliensis	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																											0.0175292153589315																																																					
