genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Anaerocella	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		305.82586074944874	1455.279375050658	202.94564089680807	829.8887424121132		730.2100474188385	190.6942155341156	434.0113012879103	415.2812911812321		224.8503667840581		594.2025500290869	1527.992055322755	996.6687965395738	280.2911010999869		39.175367429052926	411.1644470984013			100.0949489271952			182.27635591829747	3289.7349861881216	201.47629551676067	3943.993360719227	31.145361699986303	36.231156771152605	216.1488335207256	1841.1542289917256	65.08836547109595	190.45948119509416	54.27988709510289	45.40439232727201	217.8796569873877	375.6745588024627	50.33697735746069	103.20966053736664	37.000045216415614	64.72954924874792	185.3162860789361	95.30051893945549	708.5275956368492	311.8280438198578	6.300000000000001	4746.857024793173	555.0904625654445	277.77449529886	35.0687288445385	625.4065854580075	744.702370997267	69.58498063810777		58.47985190896908	331.71995560933595	589.2870034670871	5.053191489361702	68.44733900731929	202.9446787397668	284.78256680025487			2605.8330882292307	24.89779298983571	2956.758618756908	593.7904418113098	2557.8404167825997	323.7119131713191	2870.185425551324	37.19369541198836	291.8387400423326	49.206421561039626	39.38708465755846	71.83543665919426		800.7447092856722	1183.2505620897837	632.1280165120511	637.8483356193201	1667.0934850588872	3503.578300091508	16.07185628742515	24.463430420711976			509.4519447862396			883.0953728372493	74.47945879234034		554.1446586227743	3773.2855147785376
Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																											23.436560934891485																																																					
Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		143.50385623425672	51.549823588419166	37.66163847307381	21.25531398475753		106.74553705850848	44.21172408257996	70.8536523445981	40.3574618514541		56.99609600687165	21.39317600280426	66.3238035982445	151.1743642431573	41.39814954568263	34.71775647545812		56.77458067983496	75.74764925583075	28.241493482402436			19.009424898046472		19.792549118234778	77.93176387940831	72.6679035980799	166.81433870322022	82.24859507977851	74.10084294973241	23.990847427035437	491.5875654543092	84.38890822607048	42.61657033144121	37.69676837015879	118.85794968657788	66.02419067262083	104.51516391490014	94.60672611827236	74.03707655374191	2.4538058240170355		124.68499468219446	135.10492420885927	64.49203748783803	45.84431801891453		130.95892009037823	43.91772538862679	69.23156217169367	236.5994009026887	129.60875748159646	161.59510315955634	45.687349349580444		52.97567550418739	109.27083953975898	98.33136838714599	1.0819768212945828	105.92057027932668		48.35615645759928		15.61130633775013	14.80202918473582	74.72569570315098	51.76394465711663	154.71973626667193	44.161756419460914	59.18770138080566	88.16201515415898	55.68510086445864	22.8776534576931	46.69037122644845	37.86304597494143	16.593463800716897		207.71868795369056	142.13072566961478	22.35526363933131	30.42986284651784		104.09801204807069			27.262301940785797		48.74982950102306		5.027932960893855	105.88930942774026	16.479699175418475		82.55624677423543	485.1438019121245
Anaerofustis	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria									15.052445349443618																																																																																							
Anaeromassilibacillus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		166.33374777627358	106.56986075392008	510.3657556145387	287.4307176276648		307.5025399197006	171.77556178053368	398.3802058239802	68.95531468649921		193.4726385489556	18.774918764480272	101.529963691528	211.74952383023924	217.8318933856862	137.25785317707206		226.05921430089504	155.68964127254526	294.5198437305082	28.99122060804988		151.75516177584768		92.9119172446424	424.5081588254388	422.4162705331221	361.828862547589	76.80919516559756	166.3720922234027	69.24597196513302	362.7911865526557	117.25283948291258	232.59214122256844	432.9901399130436	280.99269794466863	51.99328582673144	99.4619270792342	517.1169568451198	1192.9506299917011	6.396252116884122		468.6980159447539	161.12246573714924	290.0400373321814	74.71177394839313		193.07470274053125	104.74631864446066	702.5621154937863	284.95748955157933	359.8098546013512	353.1218075982577	541.4582519206995		55.77804605938959	172.4318085554781	269.4927117484324	5.05318195017362	252.03909095431777	20.66914620345524	146.68071991520992		376.6761681038197	499.130516230721	364.5519571556335	293.2064946600819	327.3490579551766	207.8826549680963	260.46434362057687	227.549089120124	126.50851783137948	45.42619675795618	335.5161806444636	43.54549993773318	61.97396741257894	1.0476190476190474	397.6720561091771	335.54681494868	79.34512036752706	49.8815684871573	93.54530877735708	783.6876446502235	3.3965023476855487		58.36544377761855		410.16325100205125		3.110555708843177	591.4575094354301	89.45380634939737		204.3719377388139	185.20643252028717
Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		453.3848096538603	98.90405056318507	122.28899089296078	44.338633586351705		175.81168697375927	134.27307518322002	260.7496582294716	32.308503262922784		217.95310762646108		203.12138601099775	190.1064149266351	133.8356029084765	68.92045537011626		166.7827339643377	78.37527698484428	67.4216036659536			16.87554070762613		22.865499039087567	196.5882683722583	184.48273265093673	186.0449466289935	227.0724437550046	43.610266767810586	54.024772810419016	472.79550463496776	353.94119590488276	63.96408343910758	76.15257393846024	313.8342371887984	79.07912578356039	230.19064062271968	91.72207155775837	198.19012148902146	3.0609032394468665		273.2214713062792	235.47711472105706	183.01101576069135	48.441022286252725	2.14207892648109	264.4308187856201	52.073705425800526	158.40048277641833	202.17936799734326	207.9908693240049	222.60854901013693	138.22618761040204		194.90454478621467	329.05463220561336	156.96967060746792	1.0106382978723405	221.56339097448938		83.73503433428056		38.0046611918053	92.81518189680324	321.78828043511015	125.1319207799088	145.9939294605938	80.67021712271324	70.08598085443846	192.45322534797384	212.92271860957968	41.923998677114426	64.64178803425592	74.97600274790453	41.56769108435894		212.9092992893831	259.2383201472172	55.34854989749492	33.71837124102052	41.9955012621665	256.50230711586306			61.38512186641813		144.75522543727166			270.77875833721095	20.44855161881854		121.81252334330381	211.33305905751936
Anaerotaenia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		117.33556559402132	33.79402467628051	57.97384455469186	27.189845378714622		64.70868551005138	46.247782517384685	59.08462709400024	32.62501292550282		36.85724997130468		37.08367552883428	79.54581509041343	41.19020818553259	27.74461796143948		30.715118626707525	42.14879959936362	28.570070007279494						51.11643407334675	51.043039151724585	65.74181830676982	49.572004589828936	22.840463815089937	18.672251283860035	212.40411499533343	87.0970425758215	33.093389113862784	56.15234196764288	121.35723276998462	28.820036419085795	83.804209152714	73.0787117655346	106.90678765439304			52.49183541496439	83.68672811968702	87.48494742234783	20.13001827086452		72.81930146317374	32.12719253565692	150.3900819553737	336.2947100083811	50.64711202270354	54.366086233225744	57.7540775539802		33.64949878559865	90.199478571677	57.90840530171206		70.0750338935524		72.438683897885		17.01127264474258	37.466694777510725	49.64485524485283	23.218406701048654	82.35283216844776	38.63624719137811	29.253227530027004	69.2882856245195	74.79706573317576	13.771446836595164	27.16949760475817	31.255866275682614	13.232628653094537		98.99405446370412	49.88131081535329		23.38154348836081	23.39700928822574	122.29061299409976			20.898820563341868		62.12288984076561			139.08713903558166	21.03265067567035		58.24465418197612	99.04521320919903
Anaerotignum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		46.279479842570325	63.53491803401474	18.8446859879561			26.03154464798088	63.153816867125045	18.071761597830523			86.64568933972579		28.55649623076041	154.21115723547103	48.16612616366537			55.438065695498054	21.203257639723137	12.140525179139876						45.795605897269056	53.12195291438753	197.8098337647968	28.16687142154202	34.70511555675336		51.798133436237805	132.0877150180559	17.966627941298782	17.088032031533974	389.3637824486814	21.033685079345695	51.13980850906356	54.01763259080456	62.22333351624584			38.06356936173033	53.52392593714825	152.76526683860607	19.32662579804189			18.373496275906174	23.00015312627816	20.077244349754025	39.318519999852455	61.0381008459149	119.49587016086029			39.12645512532387	38.2715455406595	2.021276595744681	65.44255390313961	16.15480029769288	35.22287520198741				48.33407782808204	22.55088926941877	133.49902884538406			44.01153396623161	27.43372187026216			32.337126634147424			16.05349377600828	43.75968985129708				96.15195066570948			55.40177354482943		34.63276774056764			67.99213845016966			20.18608145831607	
Anaerotruncus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		36.706822958041926	12.13900787806446	87.08645110778974	40.40908588836124		26.546552684876072	21.304080331603917	137.55177846331583	13.33221198061842		27.338333084009147		13.4835024785618	44.11351214932427	36.72703295058289	13.141512426911722		80.88922108236402	35.4795919833406						18.502627281233902	165.2891749277618	111.52115711257714	53.8007663717223	16.77178078284015			149.1116195007358	17.314412145980743	26.72047163517125		46.31695660689695		13.423638794108715	12.45107296354706	15.432308601304516	1.3853976823837664		121.30679493845004	31.00019906970173	37.59640055440198	12.216323987711997		89.72280808197968		28.630681790187083	45.81748504219004	41.09279129230084	40.30981090449718	29.966349677092232		11.670212141466452	22.162499160308982	23.425681152671675		58.347014784796215		11.904329839615665			166.6071328606471	58.7831087238208	97.86936333604832	68.77431683091619	65.67346903720343		48.95709575572938					18.618642331178417		157.6535420480801	114.95569556782044	15.124524126012282	31.368812620066	40.18472396582698	96.22777281777776					189.40039459144464			112.32081166677447	20.329710449076696		24.626060770757917	117.79675409873283
Anaerovibrio	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria		142.21884418301744	56.93165378617966				32.19368292559614	17.98748121378354	12.04189510790708			26.652606340932515		27.14329727567831	57.03477932069416	30.346456397712057	14.271470024058011		23.02372253435346	38.37063658773558	41.142737582855695			12.078868499921132			18.074584914962365		94.78076608712836	51.257121358873135	201.3468204008093	12.253222902412675	66.6396111534889	87.01073000387117	16.150724637687137	45.338933823265286	121.69978890335848	35.29246494729452	133.0953103955252	53.69308340843886	72.2796083699244			27.15555036790838	69.09056430983986	25.122814235632895			13.03539948488337		32.10135231237996	50.18595582997103	46.08923154989001	77.35188652364302	30.29168611743399		12.099570672583146	24.72249423688463	45.195002067760846		43.11635236523897		23.210300925925928		16.10405344449756	25.07640524978118	34.93897642687133		31.152664049937428			25.44274322744484	27.11715048426958	15.771794416289934	20.60647748923875	25.248140426011307	15.444838056654625		15.050363626712729	130.27357221481026		16.227298686464877		95.56590809697974			28.23146544308099		50.435278086493305			55.1541820755786	10.187832620265052		19.142006242661864	36.136400541272
